Taxa	SNV	Name	Analysis4	meanG	seG	meanM	seM	target	Name_lumped	forShape
Firmicutes Clostridium e9f900358bb9297e10b9fbb1321b1e6e	e9f900358bb9297e10b9fbb1321b1e6e	Firmicutes Clostridium	Neg_Stool	0.686937127277402	0.0708211147059634	0.777937688329401	0.0525155359060298	IgM+	Other	IgM+.Neg_Stool
Firmicutes Coprococcus 33518e48b174ac428cb7be1a216c6c6e	33518e48b174ac428cb7be1a216c6c6e	Firmicutes Coprococcus	Pos_Stool	0.648172689356759	0.0610387013429322	0.91983216183883	0.0221098189336983	IgM+	Firmicutes Coprococcus	IgM+.Pos_Stool
Firmicutes Coprococcus 33518e48b174ac428cb7be1a216c6c6e	33518e48b174ac428cb7be1a216c6c6e	Firmicutes Coprococcus	Neg_Stool	0.483312533445403	0.0846961402237741	0.859297986694875	0.0363696139894379	IgM+	Firmicutes Coprococcus	IgM+.Neg_Stool
Firmicutes Coprococcus 65990c74559e4adfaa672a884ad7d464	65990c74559e4adfaa672a884ad7d464	Firmicutes Coprococcus	Pos_Stool	0.31377106831848	0.0626365376798681	0.752259863418628	0.0520916805606788	IgM+	Firmicutes Coprococcus	IgM+.Pos_Stool
Firmicutes Coprococcus 65990c74559e4adfaa672a884ad7d464	65990c74559e4adfaa672a884ad7d464	Firmicutes Coprococcus	Neg_Stool	0.338664347330911	0.0713318751249482	0.802627760093024	0.0584615738544399	IgM+	Firmicutes Coprococcus	IgM+.Neg_Stool
Firmicutes Coprococcus 6851a4ee264b56be2fff4686ce269907	6851a4ee264b56be2fff4686ce269907	Firmicutes Coprococcus	Pos_Stool	0.69680956073149	0.0849515782919704	0.863309528202696	0.040406163368922	IgM+	Firmicutes Coprococcus	IgM+.Pos_Stool
Firmicutes Coprococcus 6851a4ee264b56be2fff4686ce269907	6851a4ee264b56be2fff4686ce269907	Firmicutes Coprococcus	Neg_Stool	0.561275590374065	0.0717904074188809	0.805903030567231	0.0488429381337943	IgM+	Firmicutes Coprococcus	IgM+.Neg_Stool
Firmicutes Coprococcus 973ca62579b1246f54829278d51475ea	973ca62579b1246f54829278d51475ea	Firmicutes Coprococcus	Pos_Stool	0.422807013096624	0.0748819551214642	0.621204931370012	0.0543308759731339	IgM+	Firmicutes Coprococcus	IgM+.Pos_Stool
Firmicutes Coprococcus 973ca62579b1246f54829278d51475ea	973ca62579b1246f54829278d51475ea	Firmicutes Coprococcus	Neg_Stool	0.258153473055028	0.0557203220450869	0.755508769591015	0.0663485743792377	IgM+	Firmicutes Coprococcus	IgM+.Neg_Stool
Firmicutes Coprococcus aac0099991c8518a5268b1a19a84550b	aac0099991c8518a5268b1a19a84550b	Firmicutes Coprococcus	Pos_Stool	0.541080984199363	0.0844862991395476	0.834656753686608	0.0432946316400442	IgM+	Firmicutes Coprococcus	IgM+.Pos_Stool
Firmicutes Coprococcus aac0099991c8518a5268b1a19a84550b	aac0099991c8518a5268b1a19a84550b	Firmicutes Coprococcus	Neg_Stool	0.562211602687475	0.0802624668763092	0.701157085555323	0.0542847321140891	IgM+	Firmicutes Coprococcus	IgM+.Neg_Stool
Firmicutes Dialister 818434292143daca42a3168f3728da82	818434292143daca42a3168f3728da82	Firmicutes Dialister	Pos_Stool	0.663977205531446	0.0563442033144646	0.734265698752915	0.0578599618065316	None	Other	None.Pos_Stool
Firmicutes Dialister 818434292143daca42a3168f3728da82	818434292143daca42a3168f3728da82	Firmicutes Dialister	Neg_Stool	0.49309849228671	0.0756793836017464	0.621471905977523	0.0581711269045976	IgM+	Other	IgM+.Neg_Stool
Firmicutes Dorea 7af6fc12809fdafab918881f836460f8	7af6fc12809fdafab918881f836460f8	Firmicutes Dorea	Pos_Stool	0.56437139874488	0.0600086683289719	0.697136026845505	0.0475333620229251	IgM+	Other	IgM+.Pos_Stool
Firmicutes Dorea 7af6fc12809fdafab918881f836460f8	7af6fc12809fdafab918881f836460f8	Firmicutes Dorea	Neg_Stool	0.615212891160573	0.0804506881448023	0.738725126338522	0.0622308460837948	IgM+	Other	IgM+.Neg_Stool
Firmicutes Dorea bd5ef8f372e09bcf6ec35825be4f053c	bd5ef8f372e09bcf6ec35825be4f053c	Firmicutes Dorea	Pos_Stool	0.498902473000097	0.0736308417919377	0.851018995698058	0.0541856585086894	IgM+	Other	IgM+.Pos_Stool
Firmicutes Dorea bd5ef8f372e09bcf6ec35825be4f053c	bd5ef8f372e09bcf6ec35825be4f053c	Firmicutes Dorea	Neg_Stool	0.45555851649747	0.107063128470415	0.844985618648191	0.0462691481854067	IgM+	Other	IgM+.Neg_Stool
Firmicutes Dorea f4cc6e4932f507b33d1335d801f54563	f4cc6e4932f507b33d1335d801f54563	Firmicutes Dorea	Pos_Stool	0.479368933817508	0.0698218907291658	0.882659820295817	0.0328805646576129	IgM+	Other	IgM+.Pos_Stool
Firmicutes Dorea f4cc6e4932f507b33d1335d801f54563	f4cc6e4932f507b33d1335d801f54563	Firmicutes Dorea	Neg_Stool	0.332655287695119	0.087397568197139	0.80726852881084	0.0666344041874362	IgM+	Other	IgM+.Neg_Stool
