Taxa	SNV	Name	SubjectID	Analysis4	IgA-IgM-IgG-	IgM+IgA-	Mprob	IgA+IgM-	IgM+IgA+	Aprob	A_and_M_prob
Firmicutes Ruminococcus 8135beec331a8d558070c38b580e4b8e	8135beec331a8d558070c38b580e4b8e	Firmicutes Ruminococcus	F03.2	Neg_Stool	0.984944145034434	0.0150558549655659	0.0150558549655659	NA	NA	NA	0.0150558549655659
Firmicutes Ruminococcus 8135beec331a8d558070c38b580e4b8e	8135beec331a8d558070c38b580e4b8e	Firmicutes Ruminococcus	F33.1	Neg_Stool	0.0998155123376125	0.900184487662388	0.900184487662388	NA	NA	NA	0.900184487662388
Firmicutes Ruminococcus 8135beec331a8d558070c38b580e4b8e	8135beec331a8d558070c38b580e4b8e	Firmicutes Ruminococcus	F36.1	Neg_Stool	0.985059813869195	0.0149401861308049	0.0149401861308049	NA	NA	NA	0.0149401861308049
Firmicutes Ruminococcus 8135beec331a8d558070c38b580e4b8e	8135beec331a8d558070c38b580e4b8e	Firmicutes Ruminococcus	F46.1	Neg_Stool	0.931239790549459	0.0687602094505411	0.0687602094505411	NA	NA	NA	0.0687602094505411
Firmicutes Ruminococcus 8135beec331a8d558070c38b580e4b8e	8135beec331a8d558070c38b580e4b8e	Firmicutes Ruminococcus	F47.1	Neg_Stool	0.935530468002139	0.0644695319978606	0.0644695319978606	NA	NA	NA	0.0644695319978606
Firmicutes Ruminococcus 8135beec331a8d558070c38b580e4b8e	8135beec331a8d558070c38b580e4b8e	Firmicutes Ruminococcus	F48.1	Neg_Stool	0.999409635936563	0.000590364063437222	0.000590364063437222	NA	NA	NA	0.000590364063437222
Firmicutes Ruminococcus 8135beec331a8d558070c38b580e4b8e	8135beec331a8d558070c38b580e4b8e	Firmicutes Ruminococcus	F49.1	Neg_Stool	0.967338275566596	0.0326617244334042	0.0326617244334042	NA	NA	NA	0.0326617244334042
Firmicutes Ruminococcus 8135beec331a8d558070c38b580e4b8e	8135beec331a8d558070c38b580e4b8e	Firmicutes Ruminococcus	F51.1	Neg_Stool	0.992011392864228	0.00798860713577211	0.00798860713577211	NA	NA	NA	0.00798860713577211
Firmicutes Ruminococcus 8135beec331a8d558070c38b580e4b8e	8135beec331a8d558070c38b580e4b8e	Firmicutes Ruminococcus	F52.1	Neg_Stool	0.907258703392874	0.0927412966071259	0.0927412966071259	NA	NA	NA	0.0927412966071259
Firmicutes Ruminococcus 8135beec331a8d558070c38b580e4b8e	8135beec331a8d558070c38b580e4b8e	Firmicutes Ruminococcus	F54.1	Neg_Stool	0.9016077614966	0.0983922385033998	0.0983922385033998	NA	NA	NA	0.0983922385033998
Firmicutes Ruminococcus 8135beec331a8d558070c38b580e4b8e	8135beec331a8d558070c38b580e4b8e	Firmicutes Ruminococcus	F59.1	Neg_Stool	0.942365653551016	0.0576343464489835	0.0576343464489835	NA	NA	NA	0.0576343464489835
